Timestamp,Please mention your gender,Age,Do you follow current fashion trends?,What is your favourite color to wear?(Any single color or color combinations),What is your favourite pattern to wear?,Which type of clothing do you buy most often?,What is your favorite clothing brand
7/11/2024 18:48,Female,15-25,Yes,Black and beige,No pattern,"Trousers, shorts, jeans",
7/11/2024 18:48,Female,15-25,No,Blue and white,No pattern,"Dresses,skirts",Avaasa
7/11/2024 18:55,Male,15-25,No,dark blue or black,No pattern,"T-shirts, sweaters, sweatshirts",
7/11/2024 18:55,Male,15-25,No,Blue,No pattern,"T-shirts, sweaters, sweatshirts",Zara
7/11/2024 18:55,Female,15-25,Yes,Yellow / mustard,No pattern,Accessories,Rio
7/11/2024 18:55,Female,15-25,Yes,Blue,No pattern,"Trousers, shorts, jeans",Aavasa
7/11/2024 18:56,Female,15-25,No,Pink ,No pattern,"Dresses, skirts",
7/11/2024 18:58,Male,15-25,No,"Black, Blue, White",Stripes,"T-shirts, sweaters, sweatshirts","Lifestyle if moni, or zara if feeling fancy"
7/11/2024 18:59,Female,15-25,No,Black,Kalamkari print ,Kurti,Nothing specific 
7/11/2024 19:01,Female,15-25,Yes,,No pattern,"T-shirts, sweaters, sweatshirts",
7/11/2024 19:08,Male,15-25,No,White,No pattern,"T-shirts, sweaters, sweatshirts",
7/11/2024 19:13,Male,15-25,Yes,Black,No pattern,"T-shirts, sweaters, sweatshirts",Difference of opinion
7/11/2024 19:16,Male,15-25,Yes,Bright colour ,Stripes,"T-shirts, sweaters, sweatshirts","Not specific, cheap and best quality from anywhere"
7/11/2024 19:20,Female,45 and above,Yes,Black and meron,No pattern,Ethnic wear,Aurelia
7/11/2024 19:21,Male,45 and above,No,Blue,Stripes,"Trousers, shorts, jeans",Van heusen
7/11/2024 19:22,Male,35-45,Yes,White,Dice,"T-shirts, sweaters, sweatshirts",Louie Philippe 
7/11/2024 19:23,Female,45 and above,No,Mustard and yellow,Stripes,"Dresses, skirts",Luv
7/11/2024 19:24,Female,35-45,Yes,Red,Stripes,"T-shirts, sweaters, sweatshirts",Max
7/11/2024 19:24,Male,45 and above,No,Green,Stripes,"Trousers, shorts, jeans",Max
7/11/2024 19:25,Male,15-25,No,black,Dots,"Trousers, shorts, jeans",twills
7/11/2024 19:25,Female,15-25,Yes,Gold,Dots,Ethnic wear,Nalli
7/11/2024 19:26,Male,15-25,No,Black,No pattern,"Trousers, shorts, jeans",US Polo
7/11/2024 19:26,Male,45 and above,Yes,White ,No pattern,Ethnic wear,MAX
7/11/2024 19:30,Female,"15-25, 45 and above",Yes,Pink,Pattern,"Dresses, skirts",MadhuAniSoujhini
7/11/2024 19:32,Female,25-35,Yes,"Navi, pink, black",Dots,Ethnic wear,"Avasa,Marks and Spencers "
7/11/2024 19:34,Female,15-25,No,neutrals,No pattern,"T-shirts, sweaters, sweatshirts",hnm
7/11/2024 19:34,Male,45 and above,Yes,"Blue, beige ",Stripes,"T-shirts, sweaters, sweatshirts","Marks and Spencers, Next, U S Polo"
7/11/2024 19:35,Female,45 and above,Yes,Pink,No pattern,Accessories,Colors
7/11/2024 19:36,Female,15-25,Yes,Blue,Random,"Dresses, skirts",Trends
7/11/2024 19:37,Male,45 and above,No,White,No pattern,Dress,Ramraj cotton
7/11/2024 19:38,Female,15-25,Yes,Navy blue plus beige and emerald green with white or black ,No pattern,"T-shirts, sweaters, sweatshirts",Zara
7/11/2024 19:43,Female,45 and above,No,Pink,Any flowered pattern,Chudidars,Any brand
7/11/2024 19:44,Male,15-25,No,Navy blue,No pattern,"Trousers, shorts,jeans",Allen Solly 
7/11/2024 19:44,Male,35-45,No,Gold,No pattern,Ethnic wear,Ramraj
7/11/2024 19:45,Female,15-25,Yes,Blue,Stripes,"T-shirts, sweaters, sweatshirts",H&M
7/11/2024 19:46,Female,15-25,Yes,White,Stripes,Accessories,CLARA
7/11/2024 19:48,Male,45 and above,No,Red,Stripes,"Trousers, shorts,jeans",USPA
7/11/2024 19:52,Female,45 and above,Yes,Pink,Floral design,Ethnic wear,Gocolors
7/11/2024 19:57,Male,25-35,No,Red and gold,Metal (Bulletproof),Iron man suit,Strak industries Nanotech suit with F.R.I.D.A.Y
7/11/2024 20:03,Female,45 and above,Yes,Black ,Stripes,Accessories,U s polo
7/11/2024 20:05,Female,15-25,Yes,Pink black and blue shade,No pattern,"T-shirts, sweaters, sweatshirts","Denim,Zara"
7/11/2024 20:05,Male,35-45,No,Purple,Stripes,Chocolate ,Willy wonkas official merchandise 
7/11/2024 20:11,Female,15-25,Yes,Black and White,No pattern,"T-shirts, sweaters, sweatshirts",Zara
7/11/2024 20:19,Female,15-25,No,Pink and baby pink,No pattern,"Dresses, skirts",Lifestyle 
7/11/2024 20:31,Female,45 and above,Yes,Marron ,No pattern,Ethnic wear,"Biba, Westside "
7/11/2024 20:31,Female,15-25,No,Light green or reddish brown,No pattern,Ethnic wear, 
7/11/2024 21:01,Male,15-25,No,White,Fur,None,Labradoodles fluffy fur
7/11/2024 21:29,Female,45 and above,Yes,Pink,Stripes,Accessories,Colors
7/11/2024 21:40,Male,15-25,No,Black and green,Random,"Trousers, shorts, jeans",none
7/11/2024 21:47,Female,15-25,Yes,anything with black,No pattern,"T-shirts, sweaters, sweatshirts",Avaasa
7/11/2024 22:29,Female,15-25,No,navy or black,No pattern,Ethnic wear,avasa
7/11/2024 22:52,Male,25-35,Yes,White,Stripes,"Trousers, shorts, jeans",Otto
7/11/2024 22:53,Male,25-35,No,Blue,Dots,"T-shirts, sweaters, sweatshirts",Van heusen
7/11/2024 22:53,Male,15-25,Yes,White,Dice,"Jackets, coats",All
7/11/2024 23:48,Female,15-25,No,"Black, blue, peach, white, pastel colours",Floral,Ethnic wear,Zudio
7/12/2024 0:42,Male,15-25,Yes,Blue. Pastel mainly.,Random.,"Trousers, shorts, jeans",Flying Machine
7/12/2024 10:05,Female,15-25,Yes,"pastel colours, black, white and denim",floral,"Trousers, shorts, jeans","Berrylush, h&m"
7/12/2024 10:15,Female,45 and above,Yes,Pink,Stripes,"Dresses, skirts",Colors
7/12/2024 10:27,Female,15-25,Yes,light colors,No pattern,"T-shirts, sweaters, sweatshirts",H&M
7/12/2024 11:20,Male,15-25,No,White,No pattern,"T-shirts, sweaters, sweatshirts",Adidas
